Name,HeightCm
"Roosevelt, Theodore",178
"Biden, Joseph",183
"Lincoln, Abraham",193
"Clinton, William",188
"Grant, Ulysses S",173
"Coolidge, Calvin",178
"Lincoln, Abraham",193
"Nixon, Richard",182
"Eisenhower, Dwight",179
"Taft, William Howard",182
"Garfield, James",183
"Taylor, Zachary",173
"Adams, John",170
"Roosevelt, Theodore",178
"Ford, Gerald",183
"Taylor, Zachary",173
"Buchanan, James",183
"Nixon, Richard",182
"Reagan, Ronald",185
"Jefferson, Thomas",191
"Washington, George",188
"Kennedy, John F.",185
"Hayes, Rutherford",173
"Eisenhower, Dwight",179
"Clinton, William",188
"Kennedy, John F.",185
"Roosevelt, Franklin",
"Polk, James",173
"Ford, Gerald",183
"Ford, Gerald",183
"Roosevelt, Theodore",178
"Washington, George",188
"Adams, John",170
"Obama, Barack",185
"Eisenhower, Dwight",179
"Obama, Barack",185