SodaFrequency,Guess,Correct,Year
Often,B,No,2018
Often,A,No,2018
Often,B,No,2018
Never,B,No,2018
Often,B,No,2018
Never,A,No,2018
Never,C,Yes,2018
Often,C,Yes,2018
Often,B,No,2018
Never,B,No,2018
Never,A,No,2018
Often,B,No,2018
Never,C,Yes,2018
Never,B,No,2018
Often,B,No,2018
Never,C,Yes,2018
Never,A,No,2018
Never,C,Yes,2018
Never,C,Yes,2018
Often,B,No,2018
Never,C,Yes,2018
Sometimes,A,No,2018
Never,B,No,2018
Sometimes,B,No,2018
Sometimes,C,No,2018
Never,B,No,2018
Sometimes,A,Yes,2019
Never,A,Yes,2019
Never,C,No,2019
Often,A,Yes,2019
Never,B,No,2019
Never,B,No,2019
Never,C,No,2019
Never,B,No,2019
Never,A,Yes,2019
Never,B,No,2019
Sometimes,B,No,2019
Never,A,Yes,2019
Never,A,Yes,2019
Sometimes,B,No,2019
Never,B,No,2019
Never,B,No,2019
Often,A,Yes,2019
Often,C,No,2019
Never,A,Yes,2019