band,site,nest.id,utm.easting,utm.northing,elevation,tree.species,height,orientation,canopy.cover,immediate.habitat,shavings,year.placed,species,clutch.initiation,hatch.date,day12,clutch.size,nestlings,fledged,male.id,female.id
2830-32026,1,373-2020,476788,4333410,1672,austrian pine,120,SW,40,bare ground/ gravel,Y,2020,BCCH,116,134,146,6,4,4,AYB,BOO
2830-32024,1,302-2020,477305,4433412,1638,aspen,138,SE,30,long grass near road,Y,2019,BCCH,119,137,149,6,4,4,BLB,SSL
2830-32022,1,302-2020,477305,4433412,1638,aspen,138,SE,30,long grass near road,Y,2019,BCCH,119,137,149,6,4,4,BLB,SSL
2830-32021,1,302-2020,477305,4433412,1638,aspen,138,SE,30,long grass near road,Y,2019,BCCH,119,137,149,6,4,4,BLB,SSL
2830-32020-1,1,281-2020,477551,4433469,1646,crabapple,125,SE,40,near road,Y,2019,BCCH,119,137,149,5,4,4,GYA,RLO
2830-32020-2,1,281-2020,477551,4433469,1646,crabapple,125,SE,40,near road,Y,2019,BCCH,119,137,149,5,4,4,GYA,RLO
2830-32039,1,266-2020,475982,4428175,1650,blue spruce,116,SE,70,NA,Y,2019,BCCH,122,138,151,5,5,5,Pox #1-2020,YWA
2830-32040,1,266-2020,475982,4428175,1650,blue spruce,116,SE,70,NA,Y,2019,BCCH,122,138,151,5,5,5,Pox #1-2020,YWA
2830-32041,1,266-2020,475982,4428175,1650,blue spruce,116,SE,70,NA,Y,2019,BCCH,122,138,151,5,5,5,Pox #1-2020,YWA
2830-32042,1,266-2020,475982,4428175,1650,blue spruce,116,SE,70,NA,Y,2019,BCCH,122,138,151,5,5,5,Pox #1-2020,YWA
2830-32043,1,266-2020,475982,4428175,1650,blue spruce,116,SE,70,NA,Y,2019,BCCH,122,138,151,5,5,5,Pox #1-2020,YWA
2830-32033,1,326-2020,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,NA,138,150,6,6,6,YLA,BGW
2830-32030,1,326-2020,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,NA,138,150,6,6,6,YLA,BGW
256-2020-1,1,256-2020,477079,4433377,1652,hawthorne,102,SE,NA,ground cover,Y,2019,BCCH,119,138,150,7,5,5,YBO,OWA
2830-32053,1,257-2020,477090,4433417,1652,ash,133,NE,30,riparian,Y,2019,BCCH,121,139,151,6,6,6,AWG,OYO
2830-32059,1,289-2020,477373,4422453,1630,green ash,157,SE,40,grass,Y,2019,BCCH,121,139,141,5,3,3,BWR,GPB
2830-32060,1,289-2020,477373,4422453,1630,green ash,157,SE,40,grass,Y,2019,BCCH,121,139,141,5,3,3,BWR,GPB
2830-32068,2,119-2020,476547,4428732,1671,Red cedar,230,SE,60,bare ground,Y,2019,BCCH,125,141,153,6,5,5,OGS,YPY
2830-32067,2,119-2020,476547,4428732,1671,red cedar,230,SE,60,bare ground,Y,2019,BCCH,125,141,153,6,5,5,OGS,YPY
2830-32066,2,119-2020,476547,4428732,1671,red cedar,230,SE,60,bare ground,Y,2019,BCCH,125,141,153,6,5,5,OGS,YPY
2830-32065,2,119-2020,476547,4428732,1671,red cedar,230,SE,60,bare ground,Y,2019,BCCH,125,141,153,6,5,5,OGS,YPY
2830-32064,1,398-2020,NA,NA,NA,pine,NA,NA,NA,backyard,Y,2020,BCCH,NA,141,153,6,3,3,BWW,GYY
2830-32062,1,398-2020,NA,NA,NA,pine,NA,NA,NA,backyard,Y,2020,BCCH,NA,141,153,6,3,3,BWW,GYY
2830-32074,2,108-2020,476767,4428642,1653,blue spruce,268,SE,60,wood chips,Y,2019,BCCH,125,142,154,6,4,4,WLL,YGO
2830-32073,2,108-2020,476767,4428642,1653,blue spruce,268,SE,60,wood chips,Y,2019,BCCH,125,142,154,6,4,4,WLL,YGO
2830-32072,2,108-2020,476767,4428642,1653,blue spruce,268,SE,60,wood chips,Y,2019,BCCH,125,142,154,6,4,4,WLL,YGO
2830-32071,2,108-2020,476767,4428642,1653,blue spruce,268,SE,60,wood chips,Y,2019,BCCH,125,142,154,6,4,4,WLL,YGO
2830-32087,1,388-2020,476526,4430642,1637,linden,133,NE,40,mulch and short grass,Y,2020,BCCH,125,143,155,6,6,6,YAO,BLW
2830-32088,1,388-2020,476526,4430642,1637,linden,133,NE,40,mulch and short grass,Y,2020,BCCH,125,143,155,6,6,6,YAO,BLW
2830-32096,2,113-2020,476757,4428937,1637,red cedar,298,S-SW,80,short grass,Y,2019,BCCH,NA,145,157,6,5,5,YBW,OYB
2130-17416,3,236-2020,468131,4432173,2089,ponderosa,122,SE,80,open forest floor,Y,2019,MOCH,NA,147,159,8,8,8,BLP,GOY
2090-37496,1,409-2020,NA,NA,NA,ash,NA,NA,NA,front yard,Y,2020,BCCH,NA,147,159,5,5,NA,YPW,GBG
2130-17411,1,367-2020,473850,4430824,1824,ponderosa,116,S,30,bare ground,Y,2020,MOCH,126,147,159,8,4,4,GPA,BWO
2130-17414,3,236-2020,468131,4432173,2089,ponderosa,122,SE,80,open forest floor,Y,2019,MOCH,NA,147,159,8,8,8,BLP,GOY
2900-40621,3,244-2020,469914,4429521,1946,ponderosa,122,SE,20,short grass,Y,2019,MOCH,131,151,163,7,6,6,BYO,BGB
2090-40617,3,244-2020,469914,4429521,1946,ponderosa,122,SE,20,short grass,Y,2019,MOCH,131,151,163,7,6,6,BYO,BGB
2900-40647,3,234-2020,459894,4428067,2520,ponderosa,116,SE,20,bare ground,N,2019,MOCH,133,NA,168,7,6,6,NA,ABG
2900-40651,1,330-2020,476778,4427993,1679,wood post,97,E,40,Bare ground,Y,2019,BCCH,138,155,167,6,4,4,ROY,GBV
2900-40658,3,144-2020,459710,4428525,2549,ponderosa,132,SE,25,bare ground,N,2019,MOCH,NA,156,168,6,5,5,OBS,NA
2900-40663,3,198-2020,460423,4428190,2502,spruce,128,SE,20,too snowy,N,2019,MOCH,137,NA,169,6,NA,4,RRS,G
2900-40683,3,186-2020,460496,4428246,2486,fir,126,SE,30,bare ground,N,2019,MOCH,NA,169,181,NA,6,6,NA,NA
2900-40691,4,99-2020,454557,4431230,2850,lodgepole,160,SE,15,rocky ledge down to creek,N,2018,MOCH,NA,NA,NA,5,5,5,NA,WOB
2900-40689,4,99-2020,454557,4431230,2850,lodgepole,160,SE,15,rocky ledge down to creek,N,2018,MOCH,NA,NA,NA,5,5,5,NA,WOB
2900-40694,3,197-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOCH,NA,NA,NA,NA,5,5,,NA
2830-31913,1,313-2019,477307,4433051,1641,austrian pine,110,SE,30,short grass & shrub,Y,2019,BCCH,115,134,146,6,4,0,unb,WPS
326-2019-1,1,326-2019,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,119,138,150,6,5,0,YWB,unB
326-2019-2,1,326-2019,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,119,138,150,6,5,0,YWB,unB
326-2019-3,1,326-2019,479002,4431745,1613,aspen,133,SE,40,NA,Y,2019,BCCH,119,138,150,6,5,0,YWB,unB
2830-31927,1,272-2019,477181,4433308,1650,oak,123,SE,40,short grass,Y,2019,BCCH,119,139,151,5,4,4,WPR,BOS
2830-31925,1,272-2019,477181,4433308,1650,oak,123,SE,40,short grass,Y,2019,BCCH,119,139,151,5,4,4,WPR,BOS
272-2019-1,1,272-2019,477181,4433308,1650,oak,123,SE,40,short grass,Y,2019,BCCH,119,139,151,5,4,4,WPR,BOS
125-2019-1,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
2830-31934,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
125-2019-2,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
125-2019-3,2,125-2019,476626,4428871,1652,red cedar,282,SW,70,knee high grass,Y,2019,BCCH,118,140,152,7,4,4,PGY,unb
2090-37434,1,345-2019,475302,4428227,1709,NA,107,NE,40,near street,Y,2019,BCCH,125,144,156,6,3,3,SLS,unb
161-2019-1,1,161-2019,476923,4433189,1724,locust,119,SE,70,grove of willow & cedar,Y,2019,MOCH,120,141,NA,8,7,7,YSB,AGO
161-2019-2,1,161-2019,476923,4433189,1724,locust,119,SE,70,grove of willow & cedar,Y,2019,MOCH,120,141,NA,8,7,7,YSB,AGO
2090-37441,1,334-2019,475275,4431964,1675,apple,126,E,30,knick-knick,Y,2019,MOCH,121,143,NA,8,0,0,unB,AYO
287-2019-1,1,287-2019,477942,4425525,1686,ash,122,SE,40,short grass,Y,2019,BCCH,135,154,165,6,5,5,RBB,OPY
2830-31970,3,203-2019,460402,4428235,2488,fir,132,SE,30,bare ground,N,2019,MOCH,138,161,170,6,6,NA,SSP,unb
2090-37460,1,336-2019,469703,4429660,1951,ponderosa,137,SE,30,short grass,Y,2019,BCCH,NA,161,173,5,4,4,unb,AAW
336-2019-1,1,336-2019,469703,4429660,1951,ponderosa,137,SE,30,short grass,Y,2019,BCCH,NA,161,173,5,4,4,unb,AAW
2090-37483,3,207-2019,459382,4428061,2519,ponderosa,117,SE,20,.25m evergreen shrub,N,2019,BCCH,153,171,180,5,3,,LPY,unb
2090-37472,3,158-2019,459694,4428501,2550,ponderosa,126,SE,30,bare ground,N,2019,MOCH,142,170,179,8,6,NA,OBS,unb
49-2019-1,4,49-2019,453879,4431761,3007,englemann spruce,108,SW,50,saplings,N,2018,MOCH,169,188,197,5,4,2,unb,unb
2830-31985,3,218-2019,459421,4428094,2518,ponderosa,128,SE,20,1m grass,N,2019,MOCH,NA,191,200,5,2,NA,unb,unb
24-2019-1,4,24-2019,451435,4432588,3254,spruce,144,SW,80,Spruce & fallen spruce,N,2018,MOCH,169,192,201,7,3,NA,unb,unb